name
ra
dec
lii
bii
semi_major_axis_68
semi_minor_axis_68
position_angle_68
semi_major_axis_95
semi_minor_axis_95
position_angle_95
detection_significance
pivot_energy
flux_density
flux_density_error
spectral_index
spectral_index_error
flux_1_100_gev
flux_1_100_gev_error
energy_flux
energy_flux_error
curve_significance
spectrum_type
beta
beta_error
cutoff
cutoff_error
powerlaw_index
flux_30_100_mev
flux_30_100_mev_error
sqrt_ts_30_100_mev
flux_100_300_mev
flux_100_300_mev_error
sqrt_ts_100_300_mev
flux_0p3_1_gev
flux_0p3_1_gev_error
sqrt_ts_0p3_1_gev
flux_1_3_gev
flux_1_3_gev_error
sqrt_ts_1_3_gev
flux_3_10_gev
flux_3_10_gev_error
sqrt_ts_3_10_gev
flux_10_100_gev
flux_10_100_gev_error
sqrt_ts_10_100_gev
variability_index
significance_peak
flux_peak
flux_peak_error
time_peak
time_peak_interval
alt_gammaray_name_1
alt_gammaray_name_2
alt_gammaray_name_3
alt_gammaray_name_4
alt_gammaray_name_5
source_type
alt_source_type
assoc_name_1
assoc_name_2
assoc_name_3
analysis_flags
tevcat_flag
tevcat_assoc
