Time; Input; Output
12,84; 0; -9,9399697
12,9; 0; -9,980851
12,96; 0; -10,011286
13,02; 0; -10,056001
13,08; 0; -10,092461
13,14; 0; -10,104021
13,2; 0; -10,1382
13,26; 0; -10,164862
13,32; 0; -10,181925
13,38; 0; -10,179676
13,44; 0; -10,209695
13,5; 0; -10,221061
13,56; 0; -10,230809
13,62; 0; -10,23839
13,68; 0; -10,238419
13,74; 0; -10,257815
13,8; 0; -10,248553
13,86; 0; -10,255975
13,92; 0; -10,253008
13,98; 0; -10,270511
14,04; 0; -10,254666
14,1; 0; -10,257509
14,16; 0; -10,27286
14,22; 0; -10,256993
14,28; 0; -10,265202
14,34; 0; -10,275358
14,4; 0; -10,266112
14,46; 0; -10,259495
14,52; 0; -10,26992
14,58; 0; -10,28042
14,64; 0; -10,28474
14,7; 0; -10,270988
14,76; 0; -10,269892
14,82; 0; -10,288421
14,88; 0; -10,277303
14,94; 0; -10,275496
15; 0; -10,284269
15,06; 0; -10,308592
15,12; 0; -10,304366
15,18; 0; -10,30748
15,24; 0; -10,297722
15,3; 0; -10,303193
15,36; 0; -10,328089
15,42; 0; -10,329551
15,48; 0; -10,335683
15,54; 0; -10,34205
15,6; 0; -10,349275
15,66; 0; -10,340881
15,72; 0; -10,349268
15,78; 0; -10,352184
15,84; 0; -10,377067
15,9; 0; -10,372998
15,96; 0; -10,391052
16,02; 0; -10,394801
16,08; 0; -10,390103
16,14; 0; -10,403702
16,2; 0; -10,400015
16,26; 0; -10,408384
16,32; 0; -10,423972
16,38; 0; -10,421433
16,44; 0; -10,435827
16,5; 0; -10,43023
16,56; 0; -10,443485
16,62; 0; -10,460969
16,68; 0; -10,487911
16,74; 0; -10,452954
16,8; 0; -10,453944
16,86; 0; -10,464979
16,92; 0; -10,463154
16,98; 0; -10,494852
17,04; 0; -10,488462
17,1; 0; -10,484718
17,16; 0; -10,492386
17,22; 0; -10,496156
17,28; 0; -10,505468
17,34; 0; -10,514044
17,4; 0; -10,523821
17,46; 0; -10,511872
17,52; 0; -10,507856
17,58; 0; -10,529732
17,64; 0; -10,527371
17,7; 0; -10,546427
17,76; 0; -10,540405
17,82; 0; -10,553485
17,88; 0; -10,552153
17,94; 0; -10,55846
18; -0,2; -10,549069
18,06; -0,2; -10,56057
18,12; -0,2; -10,574912
18,18; -0,2; -10,55832
18,24; -0,2; -10,56148
18,3; -0,2; -10,523605
18,36; -0,2; -10,522024
18,42; -0,2; -10,501522
18,48; -0,2; -10,488686
18,54; -0,2; -10,446694
18,6; -0,2; -10,434773
18,66; -0,2; -10,368076
18,72; -0,2; -10,326668
18,78; -0,2; -10,284202
18,84; -0,2; -10,236392
18,9; -0,2; -10,165724
18,96; -0,2; -10,106725
19,02; -0,2; -10,069527
19,08; -0,2; -9,9724235
19,14; -0,2; -9,9059395
19,2; -0,2; -9,8367924
19,26; -0,2; -9,7605597
19,32; -0,2; -9,6814855
19,38; -0,2; -9,6052417
19,44; -0,2; -9,5061847
19,5; -0,2; -9,4370652
19,56; -0,2; -9,3416418
19,62; -0,2; -9,2597597
19,68; -0,2; -9,1685588
19,74; -0,2; -9,0854701
19,8; -0,2; -8,9877864
19,86; -0,2; -8,8902426
19,92; -0,2; -8,8096707
19,98; -0,2; -8,7225357
20,04; -0,2; -8,6188695
20,1; -0,2; -8,5228694
20,16; -0,2; -8,4424526
20,22; -0,2; -8,3417615
20,28; -0,2; -8,2181235
20,34; -0,2; -8,1300167
20,4; -0,2; -8,0530763
20,46; -0,2; -7,9566028
20,52; -0,2; -7,8341611
20,58; -0,2; -7,7285214
20,64; -0,2; -7,6234831
20,7; -0,2; -7,5428516
20,76; -0,2; -7,4264601
20,82; -0,2; -7,3340346
20,88; -0,2; -7,2309701
20,94; -0,2; -7,1367593
21; -0,2; -7,0516834
21,06; -0,2; -6,9249057
21,12; -0,2; -6,8364381
21,18; -0,2; -6,7330422
21,24; -0,2; -6,6122135
21,3; -0,2; -6,531933
21,36; -0,2; -6,4020347
21,42; -0,2; -6,3172121
21,48; -0,2; -6,2124474
21,54; -0,2; -6,0966862
21,6; -0,2; -6,0096756
21,66; -0,2; -5,9012789
21,72; -0,2; -5,797927
21,78; -0,2; -5,6970912
21,84; -0,2; -5,5780353
21,9; -0,2; -5,4954526
21,96; -0,2; -5,3804308
22,02; -0,2; -5,2907592
22,08; -0,2; -5,1962095
22,14; -0,2; -5,0781125
22,2; -0,2; -4,971326
22,26; -0,2; -4,8704214
22,32; -0,2; -4,7569303
22,38; -0,2; -4,6425925
22,44; -0,2; -4,5532947
22,5; -0,2; -4,4551759
22,56; -0,2; -4,3470984
22,62; -0,2; -4,2448807
22,68; -0,2; -4,139024
22,74; -0,2; -4,0410315
22,8; -0,2; -3,9253369
22,86; -0,2; -3,8363863
22,92; -0,2; -3,7311224
22,98; -0,2; -3,6109214
23,04; -0,2; -3,5188791
23,1; -0,2; -3,4099697
23,16; -0,2; -3,3065457
23,22; -0,2; -3,1929594
23,28; -0,2; -3,0935584
23,34; -0,2; -3,0076381
23,4; -0,2; -2,8841612
23,46; -0,2; -2,7720829
23,52; -0,2; -2,6837042
23,58; -0,2; -2,5530426
23,64; -0,2; -2,4531599
23,7; -0,2; -2,3554561
23,76; -0,2; -2,2484281
23,82; -0,2; -2,1678627
23,88; -0,2; -2,0301944
23,94; -0,2; -1,9279524
24; 0; -1,8141036
24,06; 0; -1,7164712
24,12; 0; -1,6250515
24,18; 0; -1,5215579
24,24; 0; -1,4203752
24,3; 0; -1,3322478
24,36; 0; -1,2502172
24,42; 0; -1,1437991
24,48; 0; -1,0638668
24,54; 0; -0,99813771
24,6; 0; -0,93698854
24,66; 0; -0,84731888
24,72; 0; -0,78644308
24,78; 0; -0,76550942
24,84; 0; -0,70220719
24,9; 0; -0,66320029
24,96; 0; -0,62796078
25,02; 0; -0,59140028
25,08; 0; -0,56313169
25,14; 0; -0,5416102
25,2; 0; -0,53257953
25,26; 0; -0,51568888
25,32; 0; -0,51408429
25,38; 0; -0,48623366
25,44; 0; -0,48649804
25,5; 0; -0,48592224
25,56; 0; -0,47645727
25,62; 0; -0,46546817
25,68; 0; -0,47058864
25,74; 0; -0,47369578
25,8; 0; -0,49122154
25,86; 0; -0,46372329
25,92; 0; -0,51444388
25,98; 0; -0,47559721
26,04; 0; -0,49137959
26,1; 0; -0,50323988
26,16; 0; -0,49832077
26,22; 0; -0,50390477
26,28; 0; -0,49908353
26,34; 0; -0,51456682
26,4; 0; -0,52365146
26,46; 0; -0,53059885
26,52; 0; -0,53320377
26,58; 0; -0,54299577
26,64; 0; -0,53250881
26,7; 0; -0,55052304
26,76; 0; -0,54625775
26,82; 0; -0,52458811
26,88; 0; -0,56168595
26,94; 0; -0,54570547
27; 0; -0,53778069
27,06; 0; -0,55367364
27,12; 0; -0,55392575
27,18; 0; -0,56054946
27,24; 0; -0,52809804
27,3; 0; -0,56872635
27,36; 0; -0,55182814
27,42; 0; -0,53704846
27,48; 0; -0,55731929
27,54; 0; -0,55124383
27,6; 0; -0,54410927
27,66; 0; -0,53527902
27,72; 0; -0,53928714
27,78; 0; -0,53320787
27,84; 0; -0,54872232
27,9; 0; -0,5409396
27,96; 0; -0,53877034
28,02; 0; -0,54584351
28,08; 0; -0,52517549
28,14; 0; -0,53386355
