2019.02.21T22:30:32.510,  13.13, 1186
2019.02.21T22:30:33.538,  12.63, 1196
2019.02.21T22:30:35.376,  14.31, 1169
2019.02.21T22:30:36.352,  12.81, 1157
2019.02.21T22:30:37.509,  12.41, 1218
2019.02.21T22:30:38.576,  14.19, 1213
2019.02.21T22:30:39.355,  12.78, 1186
2019.02.21T22:30:40.359,  12.50, 1212
2019.02.21T22:30:41.525,  12.50, 1217
2019.02.21T22:30:42.646,  13.16, 1169
2019.02.21T22:30:43.470,  12.53, 1185
2019.02.21T22:30:44.490,  13.84, 1206
2019.02.21T22:30:45.413,  12.31, 1199
2019.02.21T22:30:46.543,  12.69, 1223
2019.02.21T22:30:47.665,  14.06, 1183
2019.02.21T22:30:48.482,  12.47, 1172
2019.02.21T22:30:49.431,  12.56, 1198
2019.02.21T22:30:50.537,  12.44, 1223
2019.02.21T22:30:51.546,  12.16, 1195
2019.02.21T22:30:52.680,  12.81, 1169
2019.02.21T22:30:53.502,  15.38, 1221
2019.02.21T22:30:54.527,  13.22, 1187
2019.02.21T22:30:55.553,  12.88, 1180
2019.02.21T22:30:56.675,  16.03, 1214
2019.02.21T22:30:57.802,  12.69, 1224
2019.02.21T22:30:58.625,  12.72, 1160
2019.02.21T22:30:59.548,  12.72, 1229
2019.02.21T22:31:00.667,  12.25, 1204
2019.02.21T22:31:27.736,  14.69, 1215
2019.02.21T22:31:28.747,  14.03, 1197
2019.02.21T22:31:29.871,  14.69, 1176
2019.02.21T22:31:30.989,  15.28, 1224
2019.02.21T22:31:31.797,  14.75, 1224
2019.02.21T22:31:32.814,  16.12, 1188
2019.02.21T22:31:33.827,  15.38, 1279
2019.02.21T22:31:34.917,  13.62, 1203
2019.02.21T22:31:35.996,  15.63, 1178
2019.02.21T22:31:36.919,  14.91, 1216
2019.02.21T22:31:37.943,  16.34, 1186
2019.02.21T22:31:38.967,  15.59, 1182
2019.02.21T22:31:40.092,  15.50, 1225
2019.02.21T22:31:41.122,  15.25, 1176
2019.02.21T22:31:41.938,  15.16, 1207
2019.02.21T22:31:42.953,  13.03, 1216
2019.02.21T22:31:43.989,  15.97, 1176
2019.02.21T22:31:45.081,  15.66, 1226
2019.02.21T22:31:46.038,  17.34, 1213
2019.02.21T22:31:46.959,  16.06, 1175
2019.02.21T22:31:48.080,  16.22, 1214
2019.02.21T22:31:49.105,  16.16, 1234
2019.02.21T22:31:50.229,  15.72, 1186
