time,control,temperature
0,0,31.25
1,0,31.25
2,0,31.25
3,0,31.25
4,0,31.25
5,0,31.25
6,0,31.25
7,0,31.25
8,0,31.25
9,0,31.5
10,0,31.5
11,0,31
12,0,31
13,0,31.25
14,0,31.25
15,0,30.5
16,0,30.5
17,0,31.25
18,0,31.25
19,0,31.25
20,0,31.25
21,0,31.25
22,0,31.25
23,0,31.25
24,0,31.25
25,0,31.25
26.00000381,0,31.25
27.00000381,0,31.25
28.00000381,0,31.25
29.00000381,0,30.75
30.00000381,0,30.75
31.00000381,0,31
32.00000381,0,31
33.00000381,0,30.75
34.00000381,0,30.75
35.00000381,0,31.25
36.00000381,0,31.25
37.00000381,0,31.25
38.00000381,0,31.25
39.00000381,0,31.25
40.00000381,0,31.25
41.00100327,0,31
42.00000381,0,31
43.00000381,0,31
44.00000381,0,31
45.00000381,0,31.25
46.00000381,0,31.25
47.00100327,0,31.25
48.00000381,0,31.25
49.00000381,0,31.25
50.00000381,0,31.25
51.00000381,0,31.25
52.00000381,0,31.25
53.00000381,0,31
54.00000381,0,31
55.00000381,0,30.75
56.00100327,0,30.75
57.00000381,0,31.25
58.00000381,0,31.25
59.00300217,0,31.25
60.00000381,0,31.25
61.00000381,0,31
62.00000381,0,31
63.00000381,0,31.25
64.00000381,0,31.25
65.00000381,0,31.75
66.00000381,0,31.75
67.00100327,0,32
68.00000381,0,32
69.00000381,0,32.5
70.00000381,0,32.5
71.00000381,0,32.75
72.00000381,0,32.75
73.00000381,0,32.5
74.00000381,0,32.5
75.00000381,0,32.75
76.00000381,0,32.75
77.00000381,0,32
78.00000381,0,32
79.00000381,0,32.5
80.00000381,0,32.5
81.00000381,0,32.75
82.00000381,0,32.75
83.00000381,0,32.25
84.00000381,0,32.25
85.00000381,0,30.5
86.00000381,0,30.5
87.00000381,0,31.25
88.00000381,0,31.25
89.00000381,0,32.75
90.00000381,0,32.75
91.00000381,0,32.5
92.00000381,0,32.5
93.00000381,0,31.5
94.00000381,0,31.5
95.00000381,0,31.5
96.00000381,0,31.5
97.00000381,0,33
98.00000381,0,33
99.00000381,0,31.25
100.0000038,0,31.25
101.0000038,0,31.75
102.0000038,0,31.75
103.0000038,0,31
104.0000038,0,31
105.0000038,0,32.75
106.0000038,0,32.75
107.0000038,0,32
108.0000038,0,32
109.0000038,0,29
110.0000038,0,29
111.0000038,0,29
112.0000038,0,29
113.0000038,0,29
114.0000038,0,29
115.0000038,0,29.25
116.0000038,0,29.25
117.0000038,0,29.25
118.0000038,0,29.25
119.0000038,0,29.5
120.0000038,0,29.5
121.0000038,0,29.25
122.0000038,0,29.25
123.0000038,0,29.5
124.0000038,0,29.5
125.0000038,0,29.5
126.0000038,0,29.5
127.0000038,0,29.5
128.0000038,0,29.5
129.0000038,0,29
130.0000038,0,29
131.0000038,0,29.5
132.0000038,0,29.5
133.0000038,0,29.25
134.0000038,0,29.25
135.0000038,0,31.5
136.0000038,0,31.5
137.0000038,0,31.5
138.0000038,0,31.5
139.0000038,0,31.5
140.0000038,0,31.5
141.0000038,0,31.5
142.0000038,0,31.5
143.0000038,0,31
144.0000038,0,31
145.0000038,0,31.25
146.0000038,0,31.25
147.0000038,0,31.25
148.0000038,0,31.25
149.0000038,0,30.75
150.0000038,0,30.75
151.0000038,0,31.5
152.0000038,0,31.5
153.0000038,0,31
154.0000038,0,31
155.0000038,0,33.75
156.0000038,0,33.75
157.0000038,0,32.75
158.0000038,0,32.75
159.0000038,0,31.5
160.0000038,0,31.5
161.0000038,0,31.25
162.0000038,0,31.25
163.0000038,0,31.25
164.0000038,0,31.25
165.0000038,0,31.25
166.0009956,0,31.25
167.0000038,0,31.5
168.0000038,0,31.5
169.0000038,0,31.25
170.0000038,0,31.25
171.0000038,0,31.5
172.0000038,0,31.5
173.0000038,0,31.5
174.0000038,0,31.5
175.0000038,0,31.25
176.0000038,0,31.25
177.0000038,0,31.25
178.0000038,0,31.25
179.0000038,0,31.25
180.0000038,0,31.25
181.0000038,0,32
182.0000038,0,32
183.0000038,0,31.5
184.0000038,0,31.5
185.0000038,10,31
186.0000038,10,31
187.0000038,10,31.5
188.0000038,10,31.5
189.0000038,0,31
190.0000038,0,31
191.0000038,0,30.75
192.0000038,0,30.75
193.0000038,0,31.5
194.0000038,0,31.5
195.0000038,0,31.25
196.0000038,0,31.25
197.0000038,0,31.5
198.0000038,0,31.5
199.0000038,196,31
200.0000038,196,31
201.0000038,10,31.5
202.0000038,10,31.5
203.0000038,10,31.5
204.0000038,10,31.5
205.0000038,10,31.5
206.0000038,10,31.5
207.0000038,10,31.25
208.0000038,10,31.25
209.0000038,10,31.75
210.0000038,10,31.75
211.0000038,10,32
212.0000038,10,32
213.0000038,10,31.75
214.0000038,10,31.75
215.0000038,10,32
216.0000038,10,32
217.0000038,10,32
218.0000038,10,32
219.0000038,10,32.5
220.0010109,10,32.5
221.0000038,10,32.75
222.0000038,10,32.75
223.0000038,10,32.5
224.0000038,10,32.5
225.0000038,10,32.5
226.0000038,10,32.5
227.0000038,10,33.25
228.0000038,10,33.25
229.0000038,10,33.25
230.0000038,10,33.25
231.0000038,10,33
232.0019875,10,33
233.0000038,10,33.25
234.0000038,10,33.25
235.0000038,10,33.25
236.0000038,10,33.25
237.0010109,10,34
238.0000038,10,34
239.0000038,10,34.5
240.0000038,10,34.5
241.0000038,10,34.25
242.0000038,10,34.25
243.0000038,10,34.25
244.0000038,10,34.25
245.0000038,10,34.25
246.0000038,10,34.25
247.0000038,10,35
248.0000038,10,35
249.0000038,10,35
250.0000038,10,35
251.0000038,10,34.5
252.0000038,10,34.5
253.0000038,10,34.5
254.0000038,10,35.5
255.0000038,10,35.5
256.0000038,10,36
257.0000038,10,36
258.0000038,10,36
259.0000038,10,36
260.0000038,10,36.25
261.0000038,10,36.25
262.0000038,10,36
263.0000038,10,36
264.0000038,10,36.25
265.0000038,10,36.25
266.0010109,10,36.5
267.0000038,10,36.5
268.0000038,10,37.25
269.0000038,10,37.25
270.0000038,10,37.25
271.0000038,10,37.25
272.0000038,10,37.75
273.0000038,10,37.75
274.0000038,10,37.75
275.0000038,10,37.75
276.0000038,10,39.75
277.0000038,10,39.75
278.0000038,10,38.5
279.0000038,10,38.5
280.0000038,10,38.75
281.0000038,10,38.75
282.0010109,10,38.75
283.0000038,10,38.75
284.0000038,10,38.5
285.0000038,10,38.5
286.0000038,10,39.25
287.0000038,10,39.25
288.0000038,10,39.25
289.0000038,10,39.25
290.0000038,10,39.75
291.0000038,10,39.75
292.0000038,10,40.25
293.0000038,10,40.25
294.0000038,10,40.25
295.0000038,10,40.25
296.0000038,10,40.5
297.0000038,10,40.5
298.0019875,10,41
299.0000038,10,41
300.0000038,10,41.25
301.0060158,10,41.25
302.0000038,10,41.25
303.0000038,10,41.25
304.0019875,10,41.25
305.0000038,10,41.25
306.0000038,10,41.5
307.0060158,10,41.5
308.0000038,10,41.5
309.0000038,10,41.5
310.0000038,10,42
311.0000038,10,42
312.0060158,10,42.5
313.0000038,10,42.5
314.0000038,10,42.5
315.0000038,10,42.5
316.0000038,10,42.75
317.0000038,10,42.75
318.0000038,10,42.5
319.0000038,10,42.5
320.0060158,10,43
321.0060158,10,43
322.0000038,10,43
323.0000038,10,43
324.0189857,10,43.75
325.0000038,10,43.75
326.0000038,10,44
327.0199928,10,44
328.0000038,10,44
329.0000038,10,44
330.0000038,10,45.75
331.0000038,10,45.75
332.0000038,10,46.5
