time,control,temperature
177.504,39,26
178,39,26
178.512,39,26.25
179.008,39,26.25
179.504,39,26
180,39,26
180.496,39,26.25
181.008,39,26.25
181.504,39,26
182,39,26
182.512,39,26.25
183.008,39,26.25
183.504,39,26.25
184,39,26.25
184.496,39,26.5
185.008,39,26.5
185.504,39,26.75
186,39,26.75
186.512,39,26.5
187.008,39,26.5
187.504,39,26.5
188,39,26.5
188.496,39,26.75
189.008,39,26.75
189.504,39,26.75
190,39,26.75
190.512,39,26.75
191.008,39,26.75
191.504,39,26.5
192,39,26.5
192.496,39,26.75
193.008,39,26.75
193.504,39,27
194,39,27
194.512,39,27
195.008,39,27
195.504,39,27.25
196,39,27.25
196.496,39,27
197.008,39,27
197.504,39,27.25
198,39,27.25
198.512,39,27.25
199.008,39,27.25
199.504,39,27.5
200,39,27.5
200.496,39,27.5
201.008,39,27.5
201.504,39,28
202,39,28
202.512,39,27.75
203.008,39,27.75
203.504,39,28
204,39,28
204.496,39,28.25
205.008,39,28.25
205.504,39,28
206,39,28
206.512,39,28.25
207.008,39,28.25
207.504,39,28.5
208,39,28.5
208.496,39,28.75
209.008,39,28.75
209.504,39,28.25
210,39,28.25
210.512,39,28.5
211.008,39,28.5
211.504,39,28.75
212,39,28.75
212.496,39,28.75
213.008,39,28.75
213.504,39,28.75
214,39,28.75
214.512,39,29.5
215.008,39,29.5
215.504,39,29.25
216,39,29.25
216.496,39,29.5
217.008,39,29.5
217.504,39,29.5
218,39,29.5
218.512,39,28.75
219.008,39,28.75
219.504,39,29.5
220,39,29.5
220.496,39,29.75
221.008,39,29.75
221.504,39,30.25
222,39,30.25
222.512,39,30.25
223.008,39,30
223.504,39,30
224,39,30.25
224.496,39,30.25
225.008,39,30.25
225.504,39,30.25
226,39,30.75
226.512,39,30.75
227.008,39,30.25
227.504,39,30.25
228,39,30.75
228.496,39,30.75
229.008,39,30.75
229.504,39,30.75
230,39,31.25
230.512,39,31.25
231.008,39,31
231.504,39,31
232,39,31.5
232.496,39,31.5
233.008,39,31.5
233.504,39,31.5
234,39,31.25
234.512,39,31.25
235.008,39,31.75
235.504,39,31.75
236,39,32
236.496,39,32
237.008,39,32
237.504,39,32
238,39,32.25
238.512,39,32.25
239.008,39,32.5
239.504,39,32.5
240,39,32
240.496,39,32
241.008,39,32.75
241.504,39,32.75
242,39,32.75
242.512,39,32.75
243.008,39,33.25
243.504,39,33.25
244,39,33.25
244.496,39,33.25
245.008,39,33.25
245.504,39,33.25
246,39,33.5
246.512,39,33.5
247.008,39,32.75
247.504,39,32.75
248,39,31.25
248.496,39,31.25
249.008,39,30
249.504,39,30
250,39,29
250.512,39,29
251.008,39,29.5
251.504,39,29.5
252,39,29.5
252.496,39,29.5
253.008,39,31
253.504,39,31
254,39,32.5
254.512,39,32.5
255.008,39,35.5
255.504,39,35.5
256,39,35.75
256.496,39,35.75
257.008,39,37.25
257.504,39,37.25
258,39,37.75
258.512,39,37.75
259.008,39,38
259.504,39,38
260,39,38.25
260.496,39,38.25
261.008,39,39
261.504,39,39
262.016,39,39.5
