time,control,temperature
0,0,21
1.008,0,20.5
2,0,20.75
3.008,0,20.5
4,0,20.5
5.008,0,20.75
6,0,21
7.008,0,20.75
8,0,20.25
9.008,0,20.5
10,0,20.5
11.008,0,21
12,0,21
13.008,0,20.75
14,0,20.75
15.008,0,20.5
16.008,0,20.5
17.008,0,20.25
18,0,20.75
19.008,0,20.75
20,0,20
21.008,0,21
22,0,20.5
23.008,0,20.5
24,0,20.75
25.008,0,20.25
26,0,20.5
27.008,0,20.5
28,0,20.75
29.008,0,21
30,0,20.25
31.008,0,21
32,0,20.75
32.208,0,20.75
32.4,0,20.75
32.608,0,20.75
32.8,0,20.75
33.008,0,20.5
33.2,0,20.5
33.408,0,20.5
33.6,0,20.5
33.808,0,20.5
34,0,20.25
34.208,0,20.25
34.4,0,20.25
34.608,0,20.25
34.8,0,20.25
35.008,0,20.75
35.2,0,20.75
35.408,0,20.75
35.6,0,20.75
35.808,0,20.75
36,0,20.5
36.208,0,20.5
36.4,0,20.5
36.608,0,20.5
36.8,0,20.5
37.008,0,20.75
37.2,0,20.75
37.408,0,20.75
37.6,0,20.75
37.808,0,20.75
38,0,20.75
38.208,0,20.75
38.408,0,20.75
38.608,0,20.75
38.8,0,20.75
39.008,0,20.75
39.2,0,20.75
39.408,0,20.75
39.6,0,20.75
39.808,0,20.75
40,0,20.5
40.208,0,20.5
40.4,0,20.5
40.608,0,20.5
40.8,0,20.5
41.008,0,20.5
41.2,0,20.25
41.408,0,20.25
41.6,0,20.25
41.808,0,20.25
42,0,20.25
42.208,0,20.25
42.4,0,20.25
42.608,0,20.25
42.8,0,20.25
43.008,0,20.25
43.2,0,20.25
43.408,0,20.25
43.6,0,20.25
43.808,0,20.25
44,0,20.25
44.208,0,20.25
44.4,0,20.25
44.608,0,20.25
44.8,0,20.25
45.008,0,20.25
45.2,0,20.75
45.408,0,20.75
45.6,0,20.75
45.808,0,20.75
46,0,20.75
46.208,0,20.75
46.4,0,20.75
46.608,0,20.75
46.8,0,20.75
47.008,0,20.75
47.2,0,20.25
47.408,0,20.25
47.6,0,20.25
47.808,0,20.25
48,0,20.25
48.608,0,20.75
48.8,0,20.75
49.008,0,20.75
49.2,0,20.25
49.408,0,20.25
49.6,0,20.25
49.808,0,20.25
50,0,20.25
50.208,0,20.5
50.4,0,20.5
50.608,0,20.5
50.8,0,20.5
51.008,0,20.5
51.2,0,20.75
51.408,0,20.75
51.6,0,20.75
51.808,0,20.75
52,0,20.75
52.208,0,20
52.4,0,20
52.608,0,20
52.8,0,20
53.008,0,20
53.2,0,20.25
53.408,0,20.25
53.6,0,20.25
53.808,0,20.25
54,0,20.25
54.208,0,20.5
54.4,0,20.5
54.608,0,20.5
54.8,0,20.5
55.008,0,20.5
55.2,0,20.75
55.408,0,20.75
55.6,0,20.75
55.808,0,20.75
56,0,20.75
56.208,0,20.25
56.4,0,20.25
56.608,0,20.25
56.8,0,20.25
57.008,0,20.25
57.2,0,20.75
57.408,0,20.75
57.6,0,20.75
57.808,0,20.75
58,0,20.75
58.208,0,20.25
58.4,0,20.25
58.608,0,20.25
58.8,0,20.25
59.008,0,20.25
59.2,0,21
59.408,0,21
59.6,0,21
59.808,0,21
60,0,21
60.208,0,20.75
60.4,0,20.75
60.608,0,20.75
60.8,0,20.75
61.008,0,20.75
61.2,0,20.75
61.408,0,20.5
61.6,0,20.5
61.808,0,20.5
62,0,20.5
62.208,0,20.5
62.4,0,20.75
62.608,0,20.75
62.8,0,20.75
63.008,0,20.75
63.2,0,20.75
63.408,0,20.75
63.6,0,20.75
63.808,0,20.75
64,0,20.75
64.208,0,20.75
64.4,0,20.75
64.608,0,20.75
64.8,0,20.75
65.008,0,20.75
65.2,0,20.75
65.408,0,20.75
65.6,0,20.75
65.808,0,20.75
66,0,20.75
66.208,0,20.75
66.4,0,20.25
66.608,0,20.25
66.8,0,20.25
67.008,0,20.25
67.2,0,20.25
67.408,0,20.75
67.6,0,20.75
67.808,0,20.75
68,0,20.75
68.208,0,20.75
68.4,0,20.75
68.608,0,20.75
68.8,0,20.75
69.008,0,20.75
69.2,0,20.75
69.408,0,20.25
69.6,0,20.25
69.808,0,20.25
70,0,20.25
70.208,0,20.25
70.4,0,20.5
70.608,0,20.5
70.8,0,20.5
71.008,0,20.5
71.2,0,20.5
71.408,0,20.75
71.6,0,20.75
71.808,0,20.75
72,0,20.75
72.208,0,20.75
72.4,0,20.75
72.608,0,20.75
72.8,0,20.75
73.008,0,20.75
73.2,0,20.75
73.408,0,20.25
73.6,0,20.25
73.808,0,20.25
74,0,20.25
74.208,0,20.25
74.4,0,20.5
74.608,0,20.5
74.8,0,20.5
75.008,0,20.5
75.2,0,20.5
75.408,0,20.75
75.6,0,20.75
75.808,0,20.75
76,0,20.75
76.208,0,20.75
76.4,0,20.75
76.608,0,20.75
76.8,0,20.75
77.008,0,20.75
77.2,0,20.75
77.408,0,19.5
77.6,0,19.5
77.808,0,19.5
78,0,19.5
78.208,0,19.5
78.4,0,18.25
78.608,0,18.25
78.8,0,18.25
79.008,0,18.25
79.2,0,18.25
79.408,0,16.75
79.6,0,16.75
79.808,0,16.75
80,0,16.75
80.208,0,16.75
80.4,0,15.5
80.608,0,15.5
80.8,0,15.5
81.008,0,15.5
81.2,0,15.5
81.408,0,15.5
81.6,0,15.25
81.808,0,15.25
82,0,15.25
82.208,0,15.25
82.4,0,15.25
82.608,0,15.75
82.8,0,15.75
83.008,0,15.75
83.2,0,15.75
83.408,0,15.75
83.6,0,17.25
83.808,0,17.25
84,0,17.25
84.208,0,17.25
84.408,0,17.25
84.608,0,18
84.8,0,18
85.008,0,18
85.2,0,18
85.408,0,18
85.6,0,21.25
85.808,0,21.25
86,0,21.25
86.208,0,21.25
86.4,0,21.25
86.608,0,22.25
86.8,0,22.25
87.008,0,22.25
87.2,0,22.25
87.408,0,22.25
87.6,0,22.75
87.808,0,22.75
88,0,22.75
88.208,0,22.75
88.4,0,22.75
88.608,0,23.25
88.8,0,23.25
89.008,0,23.25
89.2,0,23.25
89.408,0,23.25
89.6,0,23.75
89.808,0,23.75
90,0,23.75
90.208,0,23.75
90.4,0,23.75
90.608,0,23.5
90.8,0,23.5
91.008,0,23.5
91.2,0,23.5
91.408,0,23.5
91.6,0,22
91.808,0,22
92,0,22
92.208,0,22
92.4,0,22
92.608,0,21.25
92.8,0,21.25
93.008,0,21.25
93.2,0,21.25
93.408,0,21.25
93.6,0,20.5
93.808,0,20.5
94,0,20.5
94.208,0,20.5
94.4,0,20.5
94.608,0,21.75
94.8,0,21.75
95.008,0,21.75
95.2,0,21.75
95.408,0,21.75
95.6,0,22.75
95.808,0,22.75
96,0,22.75
96.208,0,22.75
96.4,0,22.75
96.608,0,22.75
96.8,0,22.75
97.008,0,22.75
97.2,0,22.75
97.408,0,22.75
97.6,0,22.25
97.808,0,22.25
98,0,22.25
98.208,0,22.25
98.4,0,22.25
98.608,0,22.75
98.8,0,22.75
99.008,0,22.75
99.2,0,22.75
99.408,0,22.75
99.6,0,22.5
99.808,0,22.5
100,0,22.5
100.208,0,22.5
100.4,0,22.5
100.608,0,21
100.8,0,21
101.008,0,21
101.2,0,21
101.408,0,21
101.6,0,21
101.808,0,20.25
102,0,20.25
102.208,0,20.25
102.4,0,20.25
102.608,0,20.25
102.8,0,20.5
103.008,0,20.5
103.2,0,20.5
103.408,0,20.5
103.6,0,20.5
103.808,0,20.75
104,0,20.75
104.208,0,20.75
104.4,0,20.75
104.608,0,20.75
104.8,0,20.75
105.008,0,20.75
105.2,0,20.75
105.408,0,20.75
105.6,0,20.75
105.808,0,20.75
106,0,20.75
106.208,0,20.75
106.4,0,20.75
106.608,0,20.75
106.8,0,20.25
107.008,0,20.25
107.2,0,20.25
107.408,0,20.25
107.6,0,20.25
107.808,0,20
108,0,20
108.208,0,20
108.4,0,20
108.608,0,20
108.8,0,20.5
109.008,0,20.5
109.2,0,20.5
109.408,0,20.5
109.6,0,20.5
109.808,0,20.5
110,0,20.5
110.208,0,20.5
110.4,0,20.5
110.608,0,20.5
110.8,0,21
111.008,0,21
111.2,0,21
111.408,0,21
111.6,0,21
111.808,0,20.25
112,0,20.25
112.208,0,20.25
112.4,0,20.25
112.608,0,20.25
112.8,0,20.5
113.008,0,20.5
113.2,0,20.5
113.408,0,20.5
113.6,0,20.5
113.808,0,20.75
114,0,20.75
114.208,0,20.75
114.4,0,20.75
114.608,0,20.75
114.8,0,20.75
115.008,0,20.75
115.2,0,20.75
115.408,0,20.75
115.6,0,20.75
115.808,0,20.5
116,0,20.5
116.208,0,20.5
116.4,0,20.5
116.608,0,20.5
116.8,0,20.25
117.008,0,20.25
117.2,0,20.25
117.408,0,20.25
117.6,0,20.25
117.808,0,20
118,0,20
118.208,0,20
118.4,0,20
118.608,0,20
118.8,0,20.5
119.008,0,20.5
119.2,0,20.5
119.408,0,20.5
119.6,0,20.5
119.808,0,20.5
120,0,20.5
120.208,0,20.5
120.4,0,20.5
120.608,0,20.5
120.8,0,20.75
121.008,0,20.75
121.2,0,20.75
121.408,0,20.75
121.6,0,20.75
121.808,0,20.75
122,0,20.75
122.208,0,20.75
122.4,0,20.75
122.608,0,20.75
122.8,0,20.75
123.008,0,21
123.2,0,21
123.408,0,21
123.6,0,21
123.808,0,21
124,0,20.75
124.208,0,20.75
124.4,0,20.75
124.608,0,20.75
124.8,0,20.75
125.008,0,20.5
125.2,0,20.5
125.408,0,20.5
125.6,0,20.5
125.808,0,20.5
126,0,20
126.208,0,20
126.4,0,20
126.608,0,20
126.8,0,20
127.008,0,20.75
127.2,0,20.75
127.408,0,20.75
127.608,0,20.75
127.808,0,20.75
128,0,20.75
128.208,0,20.75
128.4,0,20.75
128.608,0,20.75
128.8,0,20.75
129.008,0,20.25
129.2,0,20.25
129.408,0,20.25
129.6,0,20.25
129.808,0,20.25
130,0,20.75
130.208,0,20.75
130.4,0,20.75
130.608,0,20.75
130.8,0,20.75
131.008,0,20.25
131.2,0,20.25
131.408,0,20.25
131.6,0,20.25
131.808,0,20.25
132,0,20.5
132.208,0,20.5
132.4,0,20.5
132.608,0,20.5
132.8,0,20.5
133.008,0,20.75
133.2,0,20.75
133.408,0,20.75
133.6,0,20.75
133.808,0,20.75
134,0,20.75
134.208,0,20.75
134.4,0,20.75
134.608,0,20.75
134.8,0,20.75
135.008,0,20.5
135.2,0,20.5
135.408,0,20.5
135.6,0,20.5
135.808,0,20.5
136,0,20.25
136.208,0,20.25
136.4,0,20.25
136.608,0,20.25
136.8,0,20.25
137.008,0,20.75
137.2,0,20.75
137.408,0,20.75
137.6,0,20.75
137.808,0,20.75
138,0,20.25
138.208,0,20.25
138.4,0,20.25
138.608,0,20.25
138.8,0,20.25
139.008,0,20.25
139.2,0,20.25
139.408,0,20.25
139.6,0,20.25
139.808,0,20.25
140,0,20.25
140.208,0,20.25
140.4,0,20.25
140.608,0,20.25
140.8,0,20.25
141.008,0,20.75
141.2,0,20.75
141.408,0,20.75
141.6,0,20.75
141.808,0,20.75
142,0,20.75
142.208,0,20.25
142.4,0,20.25
142.608,0,20.25
142.8,0,20.25
143.008,0,20.25
143.2,0,20
143.408,0,20
143.6,0,20
143.808,0,20
144,0,20
144.208,0,20.75
144.4,0,20.75
144.608,0,20.75
144.8,0,20.75
145.008,0,20.75
145.2,0,20.75
145.408,0,20.75
145.6,0,20.75
145.808,0,20.75
146,0,20.75
146.208,0,20.75
146.4,0,20.75
146.608,0,20.75
146.8,0,20.75
147.008,0,20.75
147.2,0,20.5
147.408,0,20.5
147.6,0,20.5
147.808,0,20.5
148,0,20.5
148.208,11,20.75
148.4,11,20.75
148.608,11,20.75
148.8,11,20.75
149.008,11,20.75
149.2,24,20
149.408,24,20
149.6,24,20
149.808,24,20
150,24,20
150.208,71,20
150.4,71,20
150.608,71,20
150.8,71,20
151.008,71,20
151.2,74,19
151.408,74,19
151.6,74,19
151.808,74,19
152,74,19
152.208,77,19.5
152.4,77,19.5
152.608,77,19.5
152.8,77,19.5
153.008,77,19.5
153.2,81,19
153.408,81,19
153.6,81,19
153.808,81,19
154,81,19
154.208,81,19
154.4,82,19
154.608,82,19
154.8,82,19
155.008,82,19
155.2,82,19
155.408,85,19
155.6,85,19
155.808,85,19
156,85,19
156.208,85,19.75
156.4,85,19.75
156.608,85,19.75
156.8,85,19.75
157.008,85,19.75
157.2,85,19
157.408,85,19
157.6,85,19
157.808,85,19
158,85,19
158.208,85,18.75
158.4,85,18.75
158.608,85,18.75
158.808,85,18.75
159.008,85,18.75
159.2,85,19
159.408,85,19
159.6,85,19
159.808,85,19
160,85,19
160.208,85,18.75
160.4,85,18.75
160.608,85,18.75
160.8,85,18.75
161.008,85,18.75
161.2,85,19.75
161.408,85,19.75
161.6,85,19.75
161.808,85,19.75
162,85,19.75
162.208,85,19.75
162.4,85,19.75
162.608,85,19.75
162.8,85,19.75
163.008,85,19.75
163.2,85,19.75
163.408,85,19.25
163.6,85,19.25
163.808,85,19.25
164,85,19.25
164.208,85,19.25
164.4,85,19.25
164.608,85,19.25
164.8,85,19.25
165.008,85,19.25
165.2,85,19.25
165.408,85,19.75
165.6,85,19.75
165.808,85,19.75
166,85,19.75
166.208,85,19.75
166.4,85,19.5
166.608,85,19.5
166.8,85,19.5
167.008,85,19.5
167.2,85,19.5
167.408,85,19.25
167.6,85,19.25
167.808,85,19.25
168,85,19.25
168.208,85,19.25
168.4,85,19.75
168.608,85,19.75
168.8,85,19.75
169.008,85,19.75
169.2,85,19.75
169.408,85,19.75
169.6,85,19.75
169.808,85,19.75
170,85,19.75
170.208,85,19.75
170.4,85,19.5
170.608,85,19.5
170.8,85,19.5
171.008,85,19.5
171.2,85,19.5
171.408,85,19.5
171.6,85,19.5
171.808,85,19.5
172,85,19.5
172.208,85,19.5
172.4,85,19.75
172.608,85,19.75
172.8,85,19.75
173.008,85,19.75
173.2,85,19.75
173.408,85,19.5
173.6,85,19.5
173.808,85,19.5
174,85,19.5
174.208,85,19.5
174.4,85,19.5
174.608,85,19.5
174.8,85,19.5
175.008,85,19.5
175.2,85,19.5
175.408,85,19.75
175.6,85,19.75
175.808,85,19.75
176,85,19.75
176.208,85,19.75
176.4,85,19.75
176.608,85,19.75
176.8,85,19.75
177.008,85,19.75
177.2,85,19.75
177.408,85,20
177.6,85,20
177.808,85,20
178,85,20
178.208,85,20
178.4,85,20
178.608,85,20
178.8,85,20
179.008,85,20
179.2,85,20
179.408,85,20
179.6,85,20
179.808,85,20
180,85,20
180.208,85,20
180.4,85,19.75
180.608,85,19.75
180.8,85,19.75
181.008,85,19.75
181.2,85,19.75
181.408,85,20
181.6,85,20
181.808,85,20
182,85,20
182.208,85,20
182.4,85,20
182.608,85,19.75
182.8,85,19.75
183.008,85,19.75
183.2,85,19.75
183.408,85,19.75
183.6,85,20.25
183.808,85,20.25
184,85,20.25
184.208,85,20.25
184.4,85,20.25
184.608,85,19.75
184.8,85,19.75
185.008,85,19.75
185.2,85,19.75
185.408,85,19.75
185.6,85,20.5
185.808,85,20.5
186,85,20.5
186.208,85,20.5
186.4,85,20.5
186.608,85,20.25
186.8,85,20.25
187.008,85,20.25
187.2,85,20.25
187.408,85,20.25
187.608,85,20.5
187.808,85,20.5
188,85,20.5
188.208,85,20.5
188.4,85,20.5
188.608,85,20.75
188.8,85,20.75
189.008,85,20.75
189.2,85,20.75
189.408,85,20.75
189.6,85,20.75
189.808,85,20.75
190,85,20.75
190.208,85,20.75
190.4,85,20.75
190.608,85,20.75
190.8,85,20.75
191.008,85,20.75
191.2,85,20.75
191.408,85,20.75
191.6,85,21.25
191.808,85,21.25
192,85,21.25
192.208,85,21.25
192.4,85,21.25
192.608,85,20.5
192.8,85,20.5
193.008,85,20.5
193.2,85,20.5
193.408,85,20.5
193.6,85,20
193.808,85,20
194,85,20
194.208,85,20
194.4,85,20
194.608,85,19
194.8,85,19
195.008,85,19
195.2,85,19
195.408,85,19
195.6,85,17.5
195.808,85,17.5
196,85,17.5
196.208,85,17.5
196.4,85,17.5
196.608,85,16.25
196.8,85,16.25
197.008,85,16.25
197.2,85,16.25
197.408,85,16.25
197.6,85,16.75
197.808,85,16.75
198,85,16.75
198.208,85,16.75
198.4,85,16.75
198.608,85,17
198.8,85,17
199.008,85,17
199.2,85,17
199.408,85,17
199.6,85,18
199.808,85,18
200,85,18
200.208,85,18
200.4,85,18
200.608,85,20
200.8,85,20
201.008,85,20
201.2,85,20
201.408,85,20
201.6,85,22.5
201.808,85,22.5
202,85,22.5
202.208,85,22.5
202.4,85,22.5
202.608,85,22.5
202.8,85,24.25
203.008,85,24.25
203.2,85,24.25
203.408,85,24.25
203.6,85,24.25
203.808,85,24.75
204,85,24.75
204.208,85,24.75
204.4,85,24.75
204.608,85,24.75
204.8,85,25.75
205.008,85,25.75
205.2,85,25.75
205.408,85,25.75
205.6,85,25.75
205.808,85,26
206.008,85,26
206.208,85,26
206.4,85,26
206.608,85,26
206.8,85,25.25
207.008,85,25.25
207.2,85,25.25
207.408,85,25.25
207.6,85,25.25
207.808,85,24
208,85,24
208.208,85,24
208.4,85,24
208.608,85,24
208.8,85,24
209.008,85,24
209.208,85,24
209.408,85,24
209.6,85,24
209.808,85,23.75
210,85,23.75
210.208,85,23.75
210.4,85,23.75
210.608,85,23.75
210.8,85,24.5
211.008,85,24.5
211.2,85,24.5
211.408,85,24.5
211.6,85,24.5
211.808,85,25.5
212,85,25.5
212.208,85,25.5
212.4,85,25.5
212.608,85,25.5
212.8,85,26
213.008,85,26
213.2,85,26
213.408,85,26
213.6,85,26
213.808,85,26.5
214,85,26.5
214.208,85,26.5
214.4,85,26.5
214.608,85,26.5
214.8,85,26.5
215.008,85,26.5
215.2,85,26.5
215.408,85,26.5
215.6,85,26.5
215.808,85,26.5
216,85,26.5
216.208,85,26.5
216.4,85,26.5
216.608,85,26.5
216.8,85,25.25
217.008,85,25.25
217.2,85,25.25
217.408,85,25.25
217.6,85,25.25
217.808,85,25.25
218,85,25.25
218.208,85,25.25
218.4,85,25.25
218.608,85,25.25
218.8,85,25.5
219.008,85,25.5
219.2,85,25.5
219.408,85,25.5
219.6,85,25.5
219.808,85,26
220,85,26
220.208,85,26
220.4,85,26
220.608,85,26
220.8,85,25.75
221.008,85,25.75
221.2,85,25.75
221.408,85,25.75
221.6,85,25.75
221.808,85,25.75
222,85,25.75
222.208,85,25.75
222.4,85,25.75
222.608,85,25.75
222.8,85,25.75
223.008,85,26.25
223.2,85,26.25
223.408,85,26.25
223.6,85,26.25
223.808,85,26.25
224,85,26.25
224.208,85,26.25
224.4,85,26.25
224.608,85,26.25
224.8,85,26.25
225.008,85,27
225.2,85,27
225.408,85,27
225.6,85,27
225.808,85,27
226,85,26.75
226.208,85,26.75
226.4,85,26.75
226.608,85,26.75
226.8,85,26.75
227.008,85,27.25
227.2,85,27.25
227.408,85,27.25
227.6,85,27.25
227.808,85,27.25
228,85,29
228.208,85,29
228.4,85,29
228.608,85,29
228.8,85,29
229.008,85,27
229.2,85,27
229.408,85,27
229.6,85,27
229.808,85,27
230,85,27.5
230.208,85,27.5
230.4,85,27.5
230.608,85,27.5
230.8,85,27.5
231.008,85,27.5
231.2,85,27.5
231.408,85,27.5
231.6,85,27.5
231.808,85,27.5
232,85,28
232.208,85,28
232.4,85,28
232.608,85,28
232.8,85,28
233.008,85,28.5
233.2,85,28.5
233.408,85,28.5
233.6,85,28.5
233.808,85,28.5
234,85,28.25
234.208,85,28.25
234.408,85,28.25
234.608,85,28.25
234.8,85,28.25
235.008,85,30
235.2,85,30
235.408,85,30
235.6,85,30
235.808,85,30
236,85,33.25
236.208,85,33.25
236.4,85,33.25
236.608,85,33.25
236.8,85,33.25
237.008,85,48.25
237.2,85,48.25
237.408,85,48.25
237.6,85,48.25
237.808,85,48.25
238,85,49.25
238.208,85,49.25
238.4,85,49.25
238.608,85,49.25
238.8,85,49.25
239.008,85,48.75
239.2,85,48.75
239.408,85,48.75
239.6,85,48.75
239.808,85,48.75
240,85,49.25
240.208,85,49.25
240.4,85,49.25
240.608,85,49.25
240.8,85,49.25
241.008,85,50
241.2,85,50
241.408,85,50
241.6,85,50
241.808,85,50
242,85,50.75
242.208,85,50.75
242.4,85,50.75
242.608,85,50.75
242.8,85,50.75
243.008,85,50.75
243.2,85,51.25
243.408,85,51.25
243.6,85,51.25
243.808,85,51.25
244,85,51.25
244.208,85,51.25
244.4,85,51.25
244.608,85,51.25
244.8,85,51.25
245.008,85,51.25
245.2,85,51.5
245.408,85,51.5
245.6,85,51.5
245.808,85,51.5
246,85,51.5
246.208,85,51.75
246.4,85,51.75
246.608,85,51.75
246.8,85,51.75
247.008,85,51.75
247.2,85,52.5
247.408,85,52.5
247.6,85,52.5
247.808,85,52.5
248,85,52.5
248.208,85,52.75
248.4,85,52.75
248.608,85,52.75
248.8,85,52.75
249.008,85,52.75
249.2,85,53.25
249.408,85,53.25
249.6,85,53.25
249.808,85,53.25
250,85,53.25
250.208,85,53.75
250.4,85,53.75
250.608,85,53.75
250.808,85,53.75
251.008,85,53.75
251.2,85,54
251.408,85,54
251.6,85,54
251.808,85,54
252,85,54
252.208,85,54.25
252.4,85,54.25
252.608,85,54.25
252.8,85,54.25
253.008,85,54.25
253.2,85,54.5
253.408,85,54.5
253.6,85,54.5
253.808,85,54.5
254,85,54.5
254.208,85,55
254.4,85,55
254.608,85,55
254.8,85,55
255.008,85,55
255.2,85,55
255.408,85,55
255.6,85,55
255.808,85,55
256,85,55
256.208,85,56.25
256.4,85,56.25
256.608,85,56.25
256.8,85,56.25
257.008,85,56.25
257.2,85,56.5
257.408,85,56.5
257.6,85,56.5
257.808,85,56.5
258,85,56.5
258.208,85,57
258.4,85,57
258.608,85,57
258.8,85,57
259.008,85,57
259.2,85,57
259.408,85,57
259.6,85,57
259.808,85,57
260,85,57
260.208,85,58
260.4,85,58
260.608,85,58
260.8,85,58
261.008,85,58
261.2,85,58
261.408,85,58
261.6,85,58
261.808,85,58
262,85,58
262.208,85,58
262.4,85,58
262.608,85,58
262.8,85,58
263.008,85,58
263.2,85,58
263.408,85,58.75
263.6,85,58.75
263.808,85,58.75
264,85,58.75
264.208,85,58.75
264.4,85,59.25
264.608,85,59.25
264.8,85,59.25
265.008,85,59.25
265.2,85,59.25
265.408,85,59.5
265.6,85,59.5
265.808,85,59.5
266,85,59.5
266.208,85,59.5
266.4,85,59.75
266.608,85,59.75
266.8,85,59.75
267.008,85,59.75
267.2,85,59.75
267.408,85,60.5
267.6,85,60.5
267.808,85,60.5
268,85,60.5
268.208,85,60.5
268.4,85,60.75
268.608,85,60.75
268.8,85,60.75
269.008,85,60.75
269.2,85,60.75
269.408,85,61
269.6,85,61
269.808,85,61
270,85,61
270.208,85,61
270.4,85,61.25
270.608,85,61.25
270.8,85,61.25
271.008,85,61.25
271.2,85,61.25
271.408,85,61.5
271.6,85,61.5
271.808,85,61.5
272,85,61.5
272.208,85,61.5
272.4,85,62.5
272.608,85,62.5
272.8,85,62.5
273.008,85,62.5
273.2,85,62.5
273.408,85,62.5
273.6,85,62.5
273.808,85,62.5
274,85,62.5
274.208,85,62.5
274.4,85,63.25
274.608,85,63.25
274.8,85,63.25
275.008,85,63.25
275.208,85,63.25
275.408,85,63
275.6,85,63
275.808,85,63
276,85,63
276.208,85,63
276.4,85,63.5
276.608,85,63.5
276.8,85,63.5
277.008,85,63.5
277.2,85,63.5
277.408,85,64
277.6,85,64
277.808,85,64
278,85,64
278.208,85,64
278.4,85,64.75
278.608,85,64.75
278.8,85,64.75
279.008,85,64.75
279.2,85,64.75
279.408,85,65.25
279.6,85,65.25
279.808,85,65.25
280,85,65.25
280.208,85,65.25
280.4,85,65.75
280.608,85,65.75
280.8,85,65.75
281.008,85,65.75
281.2,85,65.75
281.408,85,65.25
281.6,85,65.25
281.808,85,65.25
282,85,65.25
282.208,85,65.25
282.4,85,66
282.608,85,66
282.8,85,66
283.008,85,66
283.2,85,66
283.408,85,66
283.6,85,66.75
283.808,85,66.75
284,85,66.75
284.208,85,66.75
284.4,85,66.75
284.608,85,67.25
284.8,85,67.25
285.008,85,67.25
285.2,85,67.25
285.408,85,67.25
285.6,85,67.25
285.808,85,67.25
286,85,67.25
286.208,85,67.25
286.4,85,67.25
286.608,85,68
286.8,85,68
287.008,85,68
287.2,85,68
287.408,85,68
287.6,85,67.5
287.808,85,67.5
288,85,67.5
288.208,85,67.5
288.4,85,67.5
288.608,85,68.75
288.8,85,68.75
289.008,85,68.75
289.2,85,68.75
289.408,85,68.75
289.6,85,69.25
289.808,85,69.25
290,85,69.25
290.208,85,69.25
290.4,85,69.25
290.608,85,69
290.8,85,69
291.008,85,69
291.2,85,69
291.408,85,69
291.6,85,69.5
291.808,85,69.5
292,85,69.5
292.208,85,69.5
292.4,85,69.5
292.608,85,70.5
292.8,85,70.5
293.008,85,70.5
293.2,85,70.5
293.408,85,70.5
293.6,85,70.75
293.808,85,70.75
294,85,70.75
294.208,85,70.75
294.4,85,70.75
294.608,85,70.5
294.8,85,70.5
295.008,85,70.5
295.2,85,70.5
295.408,85,70.5
295.6,85,71.5
295.808,85,71.5
296,85,71.5
296.208,85,71.5
296.4,85,71.5
296.608,85,72
296.8,85,72
297.008,85,72
297.2,85,72
297.408,85,72
297.6,85,72.25
297.808,85,72.25
298,85,72.25
298.208,85,72.25
298.408,85,72.25
298.608,85,72.75
298.8,85,72.75
299.008,85,72.75
299.2,85,72.75
299.408,85,72.75
299.6,85,73.25
299.808,85,73.25
300,85,73.25
300.208,85,73.25
300.4,85,73.25
300.608,85,72.5
300.8,85,72.5
301.008,85,72.5
301.2,85,72.5
301.408,85,72.5
301.6,85,73.75
301.808,85,73.75
302,85,73.75
302.208,85,73.75
302.4,85,73.75
302.608,85,74
302.8,85,74
303.008,85,74
303.2,85,74
303.408,85,74
303.6,85,74
303.808,85,74.5
304,85,74.5
304.208,85,74.5
304.4,85,74.5
304.608,85,74.5
304.8,85,74.5
305.008,85,74.5
305.2,85,74.5
305.408,85,74.5
305.6,85,74.5
305.808,85,75.5
306,85,75.5
306.208,85,75.5
306.4,85,75.5
306.608,85,75.5
306.8,85,75
307.008,85,75
307.2,85,75
307.408,85,75
307.6,85,75
