time,status,kp,ki,kd,setpoint,output,temperature,error,integral,derivative
27.102,3,2,0.0025,0.5,93,120,34.75,58.25,1666.75,0
27.39,3,2,0.0025,0.5,93,122,34.5,58.5,1695.81,3
27.726,3,2,0.0025,0.5,93,119,35,58,1710.31,-2
28.029,3,2,0.0025,0.5,93,121,34.75,58.25,1724.88,1
28.317,3,2,0.0025,0.5,93,119,35,58,1739.38,-1
28.604,3,2,0.0025,0.5,93,119,35.25,57.75,1753.81,-1
28.893,3,2,0.0025,0.5,93,118,35.5,57.5,1782.69,-2
29.228,3,2,0.0025,0.5,93,120,35.25,57.75,1797.13,1
29.532,3,2,0.0025,0.5,93,120,35.25,57.75,1811.56,0
29.82,3,2,0.0025,0.5,93,120,35.25,57.75,1826,0
30.107,3,2,0.0025,0.5,93,117,36,57,1840.25,-3
30.395,3,2,0.0025,0.5,93,118,36,57,1868.75,0
30.731,3,2,0.0025,0.5,93,120,35.5,57.5,1883.13,2
31.034,3,2,0.0025,0.5,93,119,35.5,57.5,1897.5,0
31.322,3,2,0.0025,0.5,93,116,36.25,56.75,1911.69,-3
31.609,3,2,0.0025,0.5,93,120,35.75,57.25,1926,2
31.897,3,2,0.0025,0.5,93,117,36.5,56.5,1954.31,-1
32.233,3,2,0.0025,0.5,93,117,36.5,56.5,1968.44,0
32.537,3,2,0.0025,0.5,93,119,36,57,1982.69,2
32.824,3,2,0.0025,0.5,93,116,36.5,56.5,1996.81,-2
33.112,3,2,0.0025,0.5,93,117,36.75,56.25,2010.88,-1
33.399,3,2,0.0025,0.5,93,116,36.75,56.25,2039.13,-2
33.735,3,2,0.0025,0.5,93,117,36.75,56.25,2053.19,0
34.039,3,2,0.0025,0.5,93,116,37,56,2067.19,-1
34.327,3,2,0.0025,0.5,93,118,36.75,56.25,2081.25,1
34.614,3,2,0.0025,0.5,93,115,37.25,55.75,2095.19,-2
34.902,3,2,0.0025,0.5,93,118,36.75,56.25,2123.19,2
35.238,3,2,0.0025,0.5,93,115,37.25,55.75,2137.13,-2
35.542,3,2,0.0025,0.5,93,117,37,56,2151.13,1
35.829,3,2,0.0025,0.5,93,116,37.25,55.75,2165.06,-1
36.117,3,2,0.0025,0.5,93,114,37.75,55.25,2178.88,-2
36.405,3,2,0.0025,0.5,93,114,37.75,55.25,2206.69,-3
36.74,3,2,0.0025,0.5,93,115,38,55,2220.44,-1
37.044,3,2,0.0025,0.5,93,117,37.5,55.5,2234.31,2
37.333,3,2,0.0025,0.5,93,114,38,55,2248.06,-2
37.636,3,2,0.0025,0.5,93,114,38.25,54.75,2275.5,-1
37.987,3,2,0.0025,0.5,93,117,37.75,55.25,2289.31,2
38.292,3,2,0.0025,0.5,93,115,38,55,2303.06,-1
38.579,3,2,0.0025,0.5,93,113,38.5,54.5,2316.69,-2
38.882,3,2,0.0025,0.5,93,114,38.5,54.5,2330.31,0
39.17,3,2,0.0025,0.5,93,114,38.5,54.5,2357.63,-1
39.522,3,2,0.0025,0.5,93,113,38.75,54.25,2371.19,-1
39.809,3,2,0.0025,0.5,93,113,39,54,2384.69,-1
40.098,3,2,0.0025,0.5,93,115,38.5,54.5,2398.31,2
40.401,3,2,0.0025,0.5,93,113,39,54,2425.38,-1
40.752,3,2,0.0025,0.5,93,112,39.5,53.5,2438.75,-2
41.04,3,2,0.0025,0.5,93,114,39.25,53.75,2452.19,1
41.327,3,2,0.0025,0.5,93,112,39.5,53.5,2465.56,-1
