time,status,kp,ki,kd,setpoint,output,temperature,error,integral,derivative
28.621,3,2,0.01,0.5,93,93,52.5,40.5,1250,0
28.924,3,2,0.01,0.5,93,94,52.5,40.5,1270.19,1
29.26,3,2,0.01,0.5,93,96,51.75,41.25,1280.5,3
29.564,3,2,0.01,0.5,93,93,52.25,40.75,1290.69,-2
29.851,3,2,0.01,0.5,93,91,53,40,1300.69,-3
30.139,3,2,0.01,0.5,93,93,52.75,40.25,1320.81,0
30.475,3,2,0.01,0.5,93,92,53,40,1330.81,-1
30.779,3,2,0.01,0.5,93,95,52.5,40.5,1340.94,2
31.082,3,2,0.01,0.5,93,91,53.25,39.75,1350.88,-3
31.37,3,2,0.01,0.5,93,92,53.5,39.5,1360.75,-1
31.673,3,2,0.01,0.5,93,93,53.25,39.75,1380.63,0
32.009,3,2,0.01,0.5,93,94,53,40,1390.63,1
32.297,3,2,0.01,0.5,93,96,52.5,40.5,1400.75,2
32.585,3,2,0.01,0.5,93,91,53.5,39.5,1410.63,-4
32.872,3,2,0.01,0.5,93,93,53.5,39.5,1420.5,0
33.16,3,2,0.01,0.5,93,92,53.75,39.25,1440.19,-1
33.512,3,2,0.01,0.5,93,95,53.25,39.75,1450.13,2
33.8,3,2,0.01,0.5,93,92,53.75,39.25,1459.94,-2
34.103,3,2,0.01,0.5,93,93,53.75,39.25,1469.75,0
34.391,3,2,0.01,0.5,93,93,53.75,39.25,1489.31,1
34.727,3,2,0.01,0.5,93,92,54,39,1499.06,-1
35.03,3,2,0.01,0.5,93,93,54,39,1508.81,0
35.319,3,2,0.01,0.5,93,92,54.25,38.75,1518.5,-1
35.622,3,2,0.01,0.5,93,93,54,39,1528.25,1
35.925,3,2,0.01,0.5,93,92,54.25,38.75,1547.63,0
36.261,3,2,0.01,0.5,93,95,53.75,39.25,1557.44,2
36.548,3,2,0.01,0.5,93,92,54.25,38.75,1567.13,-2
36.837,3,2,0.01,0.5,93,92,54.5,38.5,1576.75,-1
37.124,3,2,0.01,0.5,93,92,54.5,38.5,1586.38,0
37.411,3,2,0.01,0.5,93,92,54.5,38.5,1605.69,-1
37.731,3,2,0.01,0.5,93,92,54.75,38.25,1615.25,-1
38.035,3,2,0.01,0.5,93,92,54.75,38.25,1624.81,0
38.323,3,2,0.01,0.5,93,91,55,38,1634.31,-1
38.626,3,2,0.01,0.5,93,94,54.5,38.5,1643.94,2
38.915,3,2,0.01,0.5,93,92,55,38,1662.94,0
39.234,3,2,0.01,0.5,93,92,55,38,1672.44,0
39.538,3,2,0.01,0.5,93,93,54.75,38.25,1682,1
39.826,3,2,0.01,0.5,93,90,55.5,37.5,1691.38,-3
40.113,3,2,0.01,0.5,93,94,55,38,1700.88,2
40.401,3,2,0.01,0.5,93,92,55.25,37.75,1719.75,0
40.737,3,2,0.01,0.5,93,92,55.25,37.75,1729.19,0
41.04,3,2,0.01,0.5,93,92,55.25,37.75,1738.63,0
41.328,3,2,0.01,0.5,93,91,55.5,37.5,1748,-1
41.615,3,2,0.01,0.5,93,91,55.75,37.25,1757.31,-1
41.903,3,2,0.01,0.5,93,91,56,37,1775.88,-1
42.239,3,2,0.01,0.5,93,91,56,37,1785.13,0
42.542,3,2,0.01,0.5,93,91,56,37,1794.38,0
42.831,3,2,0.01,0.5,93,91,56.25,36.75,1803.56,-1
43.134,3,2,0.01,0.5,93,92,56,37,1812.81,1
43.422,3,2,0.01,0.5,93,91,56.25,36.75,1831.25,-1
43.773,3,2,0.01,0.5,93,93,55.75,37.25,1840.56,2
44.06,3,2,0.01,0.5,93,88,56.75,36.25,1849.63,-4
44.349,3,2,0.01,0.5,93,91,56.75,36.25,1858.69,0
44.636,3,2,0.01,0.5,93,93,56.25,36.75,1867.88,2
44.925,3,2,0.01,0.5,93,91,56.5,36.5,1886.13,0
45.276,3,2,0.01,0.5,93,89,57,36,1895.13,-2
45.579,3,2,0.01,0.5,93,92,56.75,36.25,1904.19,1
45.868,3,2,0.01,0.5,93,91,56.75,36.25,1913.25,0
46.171,3,2,0.01,0.5,93,90,57,36,1931.38,-2
46.507,3,2,0.01,0.5,93,90,57.25,35.75,1940.31,-1
46.794,3,2,0.01,0.5,93,92,56.75,36.25,1949.38,2
47.081,3,2,0.01,0.5,93,89,57.5,35.5,1958.25,-3
47.37,3,2,0.01,0.5,93,91,57.25,35.75,1967.19,1
47.657,3,2,0.01,0.5,93,92,57,36,1985.13,1
47.993,3,2,0.01,0.5,93,87,58,35,1993.88,-4
48.297,3,2,0.01,0.5,93,92,57.5,35.5,2002.75,2
48.584,3,2,0.01,0.5,93,89,58,35,2011.5,-2
48.872,3,2,0.01,0.5,93,91,57.75,35.25,2020.31,1
49.161,3,2,0.01,0.5,93,91,57.75,35.25,2037.88,1
49.496,3,2,0.01,0.5,93,87,58.5,34.5,2046.5,-3
49.799,3,2,0.01,0.5,93,90,58.25,34.75,2055.19,1
50.087,3,2,0.01,0.5,93,89,58.5,34.5,2063.81,-1
50.375,3,2,0.01,0.5,93,90,58.25,34.75,2072.5,1
50.678,3,2,0.01,0.5,93,91,58,35,2089.94,1
50.998,3,2,0.01,0.5,93,88,58.5,34.5,2098.56,-2
51.301,3,2,0.01,0.5,93,91,58.25,34.75,2107.25,1
51.59,3,2,0.01,0.5,93,88,58.75,34.25,2115.81,-2
51.877,3,2,0.01,0.5,93,90,58.5,34.5,2124.44,1
52.165,3,2,0.01,0.5,93,88,59,34,2141.56,-2
52.501,3,2,0.01,0.5,93,89,59,34,2150.06,0
52.804,3,2,0.01,0.5,93,88,59.25,33.75,2158.5,-1
53.091,3,2,0.01,0.5,93,89,59.25,33.75,2166.94,0
53.38,3,2,0.01,0.5,93,89,59.25,33.75,2175.38,0
53.668,3,2,0.01,0.5,93,88,59.5,33.5,2192.19,-1
54.002,3,2,0.01,0.5,93,88,59.75,33.25,2200.5,-1
54.307,3,2,0.01,0.5,93,90,59.25,33.75,2208.94,2
54.61,3,2,0.01,0.5,93,91,58.75,34.25,2217.5,2
54.897,3,2,0.01,0.5,93,86,59.75,33.25,2225.81,-4
55.186,3,2,0.01,0.5,93,88,59.75,33.25,2242.44,0
55.537,3,2,0.01,0.5,93,88,60,33,2250.69,-1
55.825,3,2,0.01,0.5,93,90,59.5,33.5,2259.06,2
56.112,3,2,0.01,0.5,93,86,60.25,32.75,2267.25,-3
56.401,3,2,0.01,0.5,93,88,60.25,32.75,2275.44,0
56.704,3,2,0.01,0.5,93,87,60.25,32.75,2291.88,-1
57.04,3,2,0.01,0.5,93,88,60.25,32.75,2300.06,0
57.327,3,2,0.01,0.5,93,86,60.75,32.25,2308.13,-2
57.615,3,2,0.01,0.5,93,88,60.5,32.5,2316.25,1
57.903,3,2,0.01,0.5,93,88,60.5,32.5,2324.38,0
58.19,3,2,0.01,0.5,93,88,60.5,32.5,2340.56,1
58.542,3,2,0.01,0.5,93,85,61.25,31.75,2348.5,-3
58.83,3,2,0.01,0.5,93,89,60.75,32.25,2356.56,2
59.134,3,2,0.01,0.5,93,86,61.25,31.75,2364.5,-2
59.437,3,2,0.01,0.5,93,88,61,32,2380.44,1
59.773,3,2,0.01,0.5,93,85,61.5,31.5,2388.31,-2
60.06,3,2,0.01,0.5,93,86,61.5,31.5,2396.19,0
60.348,3,2,0.01,0.5,93,86,61.75,31.25,2404,-1
60.637,3,2,0.01,0.5,93,86,61.75,31.25,2411.81,0
60.941,3,2,0.01,0.5,93,86,61.75,31.25,2427.5,-1
61.26,3,2,0.01,0.5,93,85,62,31,2435.25,-1
61.564,3,2,0.01,0.5,93,87,61.75,31.25,2443.06,1
61.867,3,2,0.01,0.5,93,85,62.25,30.75,2450.75,-2
62.155,3,2,0.01,0.5,93,87,62,31,2458.5,1
62.443,3,2,0.01,0.5,93,85,62.25,30.75,2473.94,-1
62.762,3,2,0.01,0.5,93,88,61.75,31.25,2481.75,2
63.065,3,2,0.01,0.5,93,85,62.25,30.75,2489.44,-2
63.354,3,2,0.01,0.5,93,86,62.25,30.75,2497.13,0
63.641,3,2,0.01,0.5,93,84,62.75,30.25,2504.69,-2
63.929,3,2,0.01,0.5,93,85,62.5,30.5,2520,-1
64.265,3,2,0.01,0.5,93,84,63,30,2527.5,-2
64.569,3,2,0.01,0.5,93,86,62.75,30.25,2535.06,1
64.872,3,2,0.01,0.5,93,84,63,30,2542.56,-1
65.16,3,2,0.01,0.5,93,86,62.75,30.25,2550.13,1
65.447,3,2,0.01,0.5,93,83,63.5,29.5,2565,-2
65.799,3,2,0.01,0.5,93,85,63.25,29.75,2572.44,1
66.087,3,2,0.01,0.5,93,84,63.5,29.5,2579.81,-1
66.375,3,2,0.01,0.5,93,83,63.75,29.25,2587.13,-1
66.662,3,2,0.01,0.5,93,86,63.25,29.75,2594.56,2
66.95,3,2,0.01,0.5,93,84,63.75,29.25,2609.19,0
67.301,3,2,0.01,0.5,93,83,64,29,2616.44,-1
67.588,3,2,0.01,0.5,93,85,63.75,29.25,2623.75,1
67.877,3,2,0.01,0.5,93,85,63.5,29.5,2631.13,1
68.164,3,2,0.01,0.5,93,84,63.75,29.25,2638.44,-1
68.452,3,2,0.01,0.5,93,84,64.25,28.75,2652.75,1
68.803,3,2,0.01,0.5,93,83,64.5,28.5,2659.88,-1
69.092,3,2,0.01,0.5,93,81,65,28,2666.88,-2
69.379,3,2,0.01,0.5,93,84,64.5,28.5,2674,2
69.682,3,2,0.01,0.5,93,84,64.25,28.75,2688.31,1
70.018,3,2,0.01,0.5,93,83,64.5,28.5,2695.44,-1
70.322,3,2,0.01,0.5,93,82,65,28,2702.44,-2
70.609,3,2,0.01,0.5,93,82,65.25,27.75,2709.38,-1
70.898,3,2,0.01,0.5,93,82,65.25,27.75,2716.31,0
71.201,3,2,0.01,0.5,93,81,65.5,27.5,2730.13,-1
71.521,3,2,0.01,0.5,93,82,65.5,27.5,2737,0
71.824,3,2,0.01,0.5,93,82,65.5,27.5,2743.88,0
72.112,3,2,0.01,0.5,93,82,65.5,27.5,2750.75,0
72.4,3,2,0.01,0.5,93,82,65.5,27.5,2757.63,0
72.687,3,2,0.01,0.5,93,83,65.5,27.5,2771.31,1
73.023,3,2,0.01,0.5,93,80,66,27,2778.06,-2
73.327,3,2,0.01,0.5,93,80,66.25,26.75,2784.75,-1
73.614,3,2,0.01,0.5,93,82,66,27,2791.5,1
73.901,3,2,0.01,0.5,93,80,66.25,26.75,2798.19,-1
74.19,3,2,0.01,0.5,93,82,66.25,26.75,2811.5,1
74.526,3,2,0.01,0.5,93,78,67,26,2818,-3
74.829,3,2,0.01,0.5,93,82,66.5,26.5,2824.63,2
75.117,3,2,0.01,0.5,93,79,67,26,2831.13,-2
75.405,3,2,0.01,0.5,93,82,66.5,26.5,2837.75,2
75.693,3,2,0.01,0.5,93,79,67.25,25.75,2850.69,-1
76.028,3,2,0.01,0.5,93,81,67,26,2857.19,1
76.333,3,2,0.01,0.5,93,80,67,26,2863.69,0
76.635,3,2,0.01,0.5,93,80,67,26,2870.19,0
76.923,3,2,0.01,0.5,93,77,67.75,25.25,2876.5,-3
77.211,3,2,0.01,0.5,93,79,67.5,25.5,2889.25,0
77.53,3,2,0.01,0.5,93,78,67.75,25.25,2895.56,-1
77.834,3,2,0.01,0.5,93,79,67.75,25.25,2901.88,0
78.122,3,2,0.01,0.5,93,79,67.75,25.25,2908.19,0
78.409,3,2,0.01,0.5,93,79,67.75,25.25,2914.5,0
78.698,3,2,0.01,0.5,93,79,68,25,2927,0
79.033,3,2,0.01,0.5,93,78,68.25,24.75,2933.19,-1
79.336,3,2,0.01,0.5,93,78,68.25,24.75,2939.38,0
79.624,3,2,0.01,0.5,93,78,68.25,24.75,2945.56,0
79.912,3,2,0.01,0.5,93,79,68.25,24.75,2951.75,0
80.2,3,2,0.01,0.5,93,78,68.75,24.25,2963.88,0
80.536,3,2,0.01,0.5,93,78,68.75,24.25,2969.94,0
80.839,3,2,0.01,0.5,93,78,68.75,24.25,2976,0
81.126,3,2,0.01,0.5,93,77,69,24,2982,-1
81.414,3,2,0.01,0.5,93,76,69.25,23.75,2987.94,-1
81.702,3,2,0.01,0.5,93,76,69.25,23.75,2999.88,-1
82.037,3,2,0.01,0.5,93,77,69.25,23.75,3005.81,0
82.341,3,2,0.01,0.5,93,77,69.25,23.75,3011.75,0
82.629,3,2,0.01,0.5,93,77,69.25,23.75,3017.69,0
82.917,3,2,0.01,0.5,93,75,69.75,23.25,3023.5,-2
83.205,3,2,0.01,0.5,93,76,69.75,23.25,3035.19,-1
83.54,3,2,0.01,0.5,93,77,69.5,23.5,3041.06,1
83.845,3,2,0.01,0.5,93,75,70,23,3046.81,-2
84.132,3,2,0.01,0.5,93,77,69.75,23.25,3052.63,1
84.42,3,2,0.01,0.5,93,76,70,23,3058.38,-1
84.723,3,2,0.01,0.5,93,74,70.5,22.5,3069.75,-2
85.074,3,2,0.01,0.5,93,75,70.5,22.5,3075.38,0
85.363,3,2,0.01,0.5,93,78,69.75,23.25,3081.19,3
85.65,3,2,0.01,0.5,93,73,70.75,22.25,3086.75,-4
85.937,3,2,0.01,0.5,93,76,70.5,22.5,3092.38,1
86.225,3,2,0.01,0.5,93,75,70.75,22.25,3103.5,0
86.578,3,2,0.01,0.5,93,74,71,22,3109,-1
86.865,3,2,0.01,0.5,93,75,71,22,3114.5,0
87.153,3,2,0.01,0.5,93,75,71,22,3120,0
87.441,3,2,0.01,0.5,93,74,71.25,21.75,3125.44,-1
87.728,3,2,0.01,0.5,93,75,71.25,21.75,3136.25,1
88.081,3,2,0.01,0.5,93,73,71.5,21.5,3141.63,-1
88.384,3,2,0.01,0.5,93,73,71.75,21.25,3146.94,-1
88.688,3,2,0.01,0.5,93,76,71.25,21.75,3152.38,2
88.991,3,2,0.01,0.5,93,74,71.75,21.25,3163,0
89.327,3,2,0.01,0.5,93,75,71.5,21.5,3168.38,1
89.615,3,2,0.01,0.5,93,72,72,21,3173.63,-2
89.918,3,2,0.01,0.5,93,72,72.25,20.75,3178.81,-1
90.205,3,2,0.01,0.5,93,72,72.5,20.5,3189.06,0
90.557,3,2,0.01,0.5,93,72,72.5,20.5,3194.19,0
90.845,3,2,0.01,0.5,93,71,72.75,20.25,3199.25,-1
91.132,3,2,0.01,0.5,93,74,72.25,20.75,3204.44,2
91.42,3,2,0.01,0.5,93,72,72.5,20.5,3209.56,-1
91.708,3,2,0.01,0.5,93,71,73,20,3219.63,-1
92.06,3,2,0.01,0.5,93,71,73.25,19.75,3224.56,-1
92.348,3,2,0.01,0.5,93,72,73,20,3229.56,1
92.635,3,2,0.01,0.5,93,71,73.25,19.75,3234.5,-1
92.923,3,2,0.01,0.5,93,70,73.5,19.5,3239.38,-1
93.227,3,2,0.01,0.5,93,69,73.75,19.25,3249.19,-3
93.546,3,2,0.01,0.5,93,73,73.25,19.75,3254.13,2
93.85,3,2,0.01,0.5,93,71,73.5,19.5,3259,-1
94.138,3,2,0.01,0.5,93,71,73.5,19.5,3263.88,0
94.441,3,2,0.01,0.5,93,70,73.75,19.25,3268.69,-1
94.729,3,2,0.01,0.5,93,70,74,19,3278.25,-1
95.064,3,2,0.01,0.5,93,69,74.25,18.75,3282.94,-1
95.353,3,2,0.01,0.5,93,71,74,19,3287.69,1
95.641,3,2,0.01,0.5,93,70,74,19,3292.44,0
95.944,3,2,0.01,0.5,93,69,74.25,18.75,3297.13,-1
96.247,3,2,0.01,0.5,93,70,74.5,18.5,3306.38,0
96.583,3,2,0.01,0.5,93,71,74.25,18.75,3311.06,1
96.871,3,2,0.01,0.5,93,68,74.75,18.25,3315.63,-2
97.158,3,2,0.01,0.5,93,70,74.5,18.5,3320.25,1
97.447,3,2,0.01,0.5,93,72,74,19,3325,2
97.735,3,2,0.01,0.5,93,68,75.25,17.75,3333.94,-1
98.054,3,2,0.01,0.5,93,68,75.25,17.75,3338.38,0
98.358,3,2,0.01,0.5,93,67,75.5,17.5,3342.75,-1
98.661,3,2,0.01,0.5,93,69,75.25,17.75,3347.19,1
98.949,3,2,0.01,0.5,93,69,75.25,17.75,3351.63,0
99.237,3,2,0.01,0.5,93,69,75.25,17.75,3360.44,1
99.557,3,2,0.01,0.5,93,69,75.25,17.75,3364.88,0
99.86,3,2,0.01,0.5,93,67,75.75,17.25,3369.19,-2
100.148,3,2,0.01,0.5,93,67,76,17,3373.44,-1
100.452,3,2,0.01,0.5,93,68,75.75,17.25,3377.75,1
100.755,3,2,0.01,0.5,93,69,75.75,17.25,3386.25,2
101.091,3,2,0.01,0.5,93,66,76.25,16.75,3390.44,-2
101.378,3,2,0.01,0.5,93,67,76.25,16.75,3394.63,0
101.667,3,2,0.01,0.5,93,65,76.75,16.25,3398.69,-2
101.954,3,2,0.01,0.5,93,67,76.5,16.5,3402.81,1
102.242,3,2,0.01,0.5,93,66,76.75,16.25,3411,-1
102.594,3,2,0.01,0.5,93,65,77,16,3415,-1
102.897,3,2,0.01,0.5,93,67,76.75,16.25,3419.06,1
103.186,3,2,0.01,0.5,93,66,76.75,16.25,3423.13,0
103.489,3,2,0.01,0.5,93,63,77.25,15.75,3431.25,-4
103.824,3,2,0.01,0.5,93,64,77.5,15.5,3435.13,-1
104.113,3,2,0.01,0.5,93,67,77,16,3439.13,2
104.416,3,2,0.01,0.5,93,64,77.5,15.5,3443,-2
104.719,3,2,0.01,0.5,93,65,77.75,15.25,3450.63,0
105.07,3,2,0.01,0.5,93,65,77.75,15.25,3454.44,0
105.374,3,2,0.01,0.5,93,64,78,15,3458.19,-1
105.661,3,2,0.01,0.5,93,66,77.5,15.5,3462.06,2
105.95,3,2,0.01,0.5,93,65,77.5,15.5,3465.94,0
106.238,3,2,0.01,0.5,93,64,78,15,3473.44,0
106.573,3,2,0.01,0.5,93,65,77.75,15.25,3477.25,1
106.877,3,2,0.01,0.5,93,62,78.5,14.5,3480.88,-3
107.164,3,2,0.01,0.5,93,65,78,15,3484.63,2
107.451,3,2,0.01,0.5,93,62,78.5,14.5,3488.25,-2
107.74,3,2,0.01,0.5,93,62,78.75,14.25,3495.5,-2
