time,status,kp,ki,kd,setpoint,output,temperature,error,integral,derivative
0.75,3,3,0.00125,0.5,93,142,45.5,47.5,47.625,-1
1.065,3,3,0.00125,0.5,93,143,45.25,47.75,59.5625,1
1.352,3,3,0.00125,0.5,93,143,45.25,47.75,71.5,0
1.64,3,3,0.00125,0.5,93,144,45,48,83.5,1
1.928,3,3,0.00125,0.5,93,144,45,48,107.438,1
2.264,3,3,0.00125,0.5,93,144,45,48,119.438,0
2.567,3,3,0.00125,0.5,93,144,45,48,131.438,0
2.855,3,3,0.00125,0.5,93,144,45,48,143.438,0
3.142,3,3,0.00125,0.5,93,141,45.5,47.5,155.313,-2
3.43,3,3,0.00125,0.5,93,144,45,48,179.313,0
3.766,3,3,0.00125,0.5,93,145,44.75,48.25,191.375,1
4.07,3,3,0.00125,0.5,93,141,45.5,47.5,203.25,-3
4.358,3,3,0.00125,0.5,93,142,45.5,47.5,215.125,0
4.645,3,3,0.00125,0.5,93,145,45,48,227.125,2
4.932,3,3,0.00125,0.5,93,144,45,48,251.125,0
5.268,3,3,0.00125,0.5,93,141,45.5,47.5,263,-2
5.573,3,3,0.00125,0.5,93,142,45.5,47.5,274.875,0
5.86,3,3,0.00125,0.5,93,145,45,48,286.875,2
6.148,3,3,0.00125,0.5,93,141,45.5,47.5,298.75,-2
6.435,3,3,0.00125,0.5,93,142,45.5,47.5,322.563,-1
6.772,3,3,0.00125,0.5,93,144,45.25,47.75,334.5,1
7.075,3,3,0.00125,0.5,93,142,45.5,47.5,346.375,-1
7.362,3,3,0.00125,0.5,93,142,45.5,47.5,358.25,0
7.651,3,3,0.00125,0.5,93,142,45.5,47.5,370.125,0
7.939,3,3,0.00125,0.5,93,142,45.5,47.5,393.875,0
8.274,3,3,0.00125,0.5,93,143,45.5,47.5,405.75,0
8.579,3,3,0.00125,0.5,93,143,45.5,47.5,417.625,0
8.881,3,3,0.00125,0.5,93,144,45.25,47.75,429.563,1
9.169,3,3,0.00125,0.5,93,142,45.5,47.5,453.438,-2
9.52,3,3,0.00125,0.5,93,143,45.5,47.5,465.313,0
9.825,3,3,0.00125,0.5,93,143,45.5,47.5,477.188,0
10.112,3,3,0.00125,0.5,93,144,45.25,47.75,489.125,1
10.4,3,3,0.00125,0.5,93,143,45.25,47.75,501.063,0
10.687,3,3,0.00125,0.5,93,140,45.75,47.25,524.875,-3
11.023,3,3,0.00125,0.5,93,147,44.75,48.25,536.938,4
11.326,3,3,0.00125,0.5,93,140,45.75,47.25,548.75,-4
11.615,3,3,0.00125,0.5,93,143,45.5,47.5,560.625,1
11.902,3,3,0.00125,0.5,93,144,45.25,47.75,572.563,1
12.19,3,3,0.00125,0.5,93,145,45,48,596.5,1
12.525,3,3,0.00125,0.5,93,142,45.5,47.5,608.375,-2
12.829,3,3,0.00125,0.5,93,143,45.5,47.5,620.25,0
13.117,3,3,0.00125,0.5,93,145,45,48,632.25,2
13.404,3,3,0.00125,0.5,93,142,45.5,47.5,644.125,-2
13.692,3,3,0.00125,0.5,93,144,45.25,47.75,667.938,1
14.027,3,3,0.00125,0.5,93,142,45.5,47.5,679.813,-1
14.331,3,3,0.00125,0.5,93,142,45.75,47.25,691.625,-1
14.619,3,3,0.00125,0.5,93,142,45.75,47.25,703.438,0
14.907,3,3,0.00125,0.5,93,143,45.5,47.5,715.313,1
15.196,3,3,0.00125,0.5,93,141,46,47,738.875,-1
15.53,3,3,0.00125,0.5,93,144,45.5,47.5,750.75,2
15.834,3,3,0.00125,0.5,93,140,46,47,762.5,-2
