=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.05.04 14:58:14 =~=~=~=~=~=~=~=~=~=~=~=
4714,1,1,38.53,38.53,38.53,38.53,1,36.75
5715,2,1,38.53,38.53,38.53,38.53,1,37.00
6715,2,1,38.56,38.56,38.56,38.56,1,36.75
7716,2,1,38.56,38.56,38.56,38.56,1,37.25
8716,2,1,38.56,38.56,38.56,38.56,1,37.25
9717,2,1,38.56,38.56,38.56,38.56,1,36.75
10717,3,1,38.56,38.56,38.56,38.56,1,36.75
11718,3,1,38.56,38.56,38.56,38.56,1,37.50
12718,3,1,38.56,38.56,38.56,38.56,1,37.00
13719,3,1,38.59,38.59,38.59,38.59,1,37.50
14721,3,1,38.59,38.59,38.59,38.59,1,37.50
15722,4,1,38.59,38.59,38.59,38.59,1,37.25
16723,4,1,38.56,38.56,38.56,38.56,1,37.00
17723,4,1,38.59,38.59,38.59,38.59,1,37.25
18724,4,1,38.59,38.59,38.59,38.59,1,37.50
19724,4,1,38.53,38.54,38.53,38.56,1,37.25
20725,5,1,38.56,38.56,38.56,38.56,1,37.25
21725,5,1,38.59,38.59,38.59,38.59,1,37.75
22726,5,1,38.56,38.56,38.56,38.56,1,37.75
23726,5,1,38.56,38.56,38.56,38.56,1,37.75
24727,5,1,38.56,38.56,38.56,38.56,1,37.50
25729,6,1,38.56,38.56,38.56,38.56,1,37.50
26730,6,1,38.56,38.56,38.56,38.56,1,37.50
27731,6,1,38.56,38.56,38.56,38.56,1,38.00
28731,6,1,38.56,38.56,38.56,38.56,1,38.00
29732,6,1,38.53,38.53,38.53,38.53,1,37.50
30732,7,1,38.53,38.53,38.53,38.53,1,37.75
31733,7,1,38.53,38.53,38.53,38.53,1,37.75
32733,7,1,38.53,38.53,38.53,38.53,1,37.75
33734,7,1,38.53,38.53,38.53,38.53,1,37.00
34734,7,1,38.53,38.53,38.53,38.53,1,37.75
35735,8,1,38.50,38.51,38.50,38.53,1,37.75
36737,8,1,38.53,38.53,38.53,38.53,1,37.75
37738,8,1,38.53,38.53,38.53,38.53,1,38.00
38739,8,1,38.53,38.53,38.53,38.53,1,37.50
39739,8,1,38.50,38.50,38.50,38.50,1,38.00
40740,9,1,38.50,38.50,38.50,38.50,1,37.75
41740,9,1,38.50,38.50,38.50,38.50,1,37.75
42741,9,1,38.50,38.50,38.50,38.50,1,37.75
43741,9,1,38.50,38.50,38.50,38.50,1,38.25
44742,9,1,38.50,38.50,38.50,38.50,1,38.00
45742,10,1,38.50,38.50,38.50,38.50,1,37.50
46743,10,1,38.50,38.50,38.50,38.50,1,37.75
47745,10,1,38.50,38.50,38.50,38.50,1,38.25
48746,10,1,38.50,38.50,38.50,38.50,1,37.75
49747,10,1,38.50,38.50,38.50,38.50,1,37.75
50747,11,1,38.50,38.50,38.50,38.50,1,38.25
51748,11,1,38.50,38.50,38.50,38.50,1,38.00
52748,11,1,38.47,38.47,38.47,38.47,1,38.00
