32.0000,31.8125
31.7500,31.8437
32.2500,31.8125
32.5000,31.8125
32.0000,31.8125
32.2500,31.8125
32.5000,31.8125
32.2500,31.8125
32.0000,31.8125
31.7500,31.8125
32.2500,31.8125
32.2500,31.8125
32.0000,31.8437
32.5000,31.8125
32.0000,31.8125
32.2500,31.8125
31.7500,31.8125
32.5000,31.8125
32.0000,31.8125
31.7500,31.8125
32.2500,31.8125
32.0000,31.8125
32.2500,31.8125
32.0000,31.8125
32.2500,31.8125
31.7500,31.8125
32.5000,31.8125
32.0000,31.8125
32.5000,31.8125
32.5000,31.8125
32.5000,31.8125
32.2500,31.8125
32.2500,31.8125
32.2500,31.8125
32.2500,31.8437
32.5000,31.8437
32.2500,31.8750
32.2500,31.8750
32.5000,31.9062
32.2500,31.9375
31.5000,31.9687
32.5000,32.0312
32.5000,32.1250
32.7500,32.1875
32.2500,32.3125
32.7500,32.4062
32.5000,32.5625
32.7500,32.7187
32.5000,32.9062
32.5000,33.0937
32.7500,33.3125
32.7500,33.5625
32.5000,33.8125
33.0000,34.0625
33.2500,34.3750
33.2500,34.7187
33.0000,35.0625
33.5000,35.4375
33.5000,35.8125
33.5000,36.2500
34.0000,36.7187
34.0000,37.1562
34.0000,37.6562
34.5000,38.1562
34.2500,38.6875
34.7500,39.2187
34.7500,39.8125
35.0000,40.3750
34.7500,41.0000
35.5000,41.6562
36.5000,42.2812
36.5000,42.9687
36.5000,43.6250
36.2500,44.3437
37.5000,45.0312
38.0000,45.7812
38.2500,46.5312
38.5000,47.3125
38.2500,48.0625
39.5000,48.8750
39.5000,49.6562
39.7500,50.5000
40.5000,51.3125
40.5000,52.1562
41.7500,53.0000
41.7500,53.9062
42.5000,54.7500
43.0000,55.6250
43.2500,56.5312
43.7500,57.4062
44.5000,58.3437
45.2500,59.2812
45.5000,60.1875
46.5000,61.1250
47.0000,62.0937
47.7500,63.0312
48.5000,63.9687
48.5000,64.9375
49.5000,65.9063
50.0000,66.9063
50.7500,67.9063
51.5000,68.8750
52.2500,69.9063
53.0000,70.8750
53.5000,71.8750
54.2500,72.9063
54.5000,73.9375
55.7500,74.9688
56.5000,75.9688
56.7500,77.0000
58.0000,78.0313
58.7500,79.0625
59.5000,80.1250
59.7500,81.1563
61.2500,82.2188
62.0000,83.2813
62.7500,84.3438
63.7500,85.3750
64.2500,86.4375
64.7500,87.5000
66.2500,88.5625
66.7500,89.6250
67.0000,90.7188
69.0000,91.7813
69.7500,92.8438
70.2500,93.9063
71.5000,95.0000
72.2500,96.0625
